op,dataset,case_id,dtype,seed,status,prepared_input,result_path
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b1_q64_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b1_q64_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b1_q64_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b1_q64_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b1_q64_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b1_q64_ctx512_top512-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b1_q128_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b1_q128_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b1_q128_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b1_q128_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b1_q128_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b1_q128_ctx512_top512-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b1_q256_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b1_q256_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b1_q256_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b1_q256_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b1_q256_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b1_q256_ctx512_top512-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b1_q512_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b1_q512_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b1_q512_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b1_q512_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b1_q512_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b1_q512_ctx512_top512-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b1_q512_ctx1024_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b1_q512_ctx1024_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b1_q512_ctx1024_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b1_q512_ctx1024_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b1_q512_ctx1024_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b1_q512_ctx1024_top512-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b1_q512_ctx1024_top1024,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b1_q512_ctx1024_top1024-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b1_q512_ctx1024_top1024-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b1_q512_ctx1024_top1024,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b1_q512_ctx1024_top1024-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b1_q512_ctx1024_top1024-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b2_q128_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b2_q128_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b2_q128_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b2_q128_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b2_q128_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b2_q128_ctx512_top512-bfloat16-seed0.json
lightning_indexer,realistic_prefill,deepseek_a5_prefill_b2_q256_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_prefill/deepseek_a5_prefill_b2_q256_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_prefill-deepseek_a5_prefill_b2_q256_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_prefill,deepseek_a5_prefill_b2_q256_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_prefill/deepseek_a5_prefill_b2_q256_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_prefill-deepseek_a5_prefill_b2_q256_ctx512_top512-bfloat16-seed0.json
