op,dataset,case_id,dtype,seed,status,prepared_input,result_path
softmax,realistic,bert_pytorch_attention,float16,0,ok,prepared/softmax/realistic/bert_pytorch_attention-float16-seed0.json,perf/softmax-realistic-bert_pytorch_attention-float16-seed0.json
softmax,realistic,camembert_logits,float16,0,ok,prepared/softmax/realistic/camembert_logits-float16-seed0.json,perf/softmax-realistic-camembert_logits-float16-seed0.json
softmax,realistic,convbert_attention,float16,0,ok,prepared/softmax/realistic/convbert_attention-float16-seed0.json,perf/softmax-realistic-convbert_attention-float16-seed0.json
softmax,realistic,convbert_local_kernel,float16,0,ok,prepared/softmax/realistic/convbert_local_kernel-float16-seed0.json,perf/softmax-realistic-convbert_local_kernel-float16-seed0.json
softmax,realistic,convbert_logits,float16,0,ok,prepared/softmax/realistic/convbert_logits-float16-seed0.json,perf/softmax-realistic-convbert_logits-float16-seed0.json
softmax,realistic,crossvit_cls_attention,float16,0,ok,prepared/softmax/realistic/crossvit_cls_attention-float16-seed0.json,perf/softmax-realistic-crossvit_cls_attention-float16-seed0.json
softmax,realistic,deberta_attention,float16,0,ok,prepared/softmax/realistic/deberta_attention-float16-seed0.json,perf/softmax-realistic-deberta_attention-float16-seed0.json
softmax,realistic,electra_attention,float16,0,ok,prepared/softmax/realistic/electra_attention-float16-seed0.json,perf/softmax-realistic-electra_attention-float16-seed0.json
softmax,realistic,gptj_attention,float16,0,ok,prepared/softmax/realistic/gptj_attention-float16-seed0.json,perf/softmax-realistic-gptj_attention-float16-seed0.json
softmax,realistic,gptneo_attention,float16,0,ok,prepared/softmax/realistic/gptneo_attention-float16-seed0.json,perf/softmax-realistic-gptneo_attention-float16-seed0.json
softmax,realistic,halonet_window_attention,float16,0,ok,prepared/softmax/realistic/halonet_window_attention-float16-seed0.json,perf/softmax-realistic-halonet_window_attention-float16-seed0.json
softmax,realistic,layoutlm_attention,float16,0,ok,prepared/softmax/realistic/layoutlm_attention-float16-seed0.json,perf/softmax-realistic-layoutlm_attention-float16-seed0.json
softmax,realistic,levit_global_attention,float16,0,ok,prepared/softmax/realistic/levit_global_attention-float16-seed0.json,perf/softmax-realistic-levit_global_attention-float16-seed0.json
softmax,realistic,levit_mixed_attention,float16,0,ok,prepared/softmax/realistic/levit_mixed_attention-float16-seed0.json,perf/softmax-realistic-levit_mixed_attention-float16-seed0.json
softmax,realistic,longformer_logits,float16,0,ok,prepared/softmax/realistic/longformer_logits-float16-seed0.json,perf/softmax-realistic-longformer_logits-float16-seed0.json
softmax,realistic,m2m100_logits,float16,0,ok,prepared/softmax/realistic/m2m100_logits-float16-seed0.json,perf/softmax-realistic-m2m100_logits-float16-seed0.json
softmax,realistic,mobilebert_attention,float16,0,ok,prepared/softmax/realistic/mobilebert_attention-float16-seed0.json,perf/softmax-realistic-mobilebert_attention-float16-seed0.json
softmax,realistic,mt5_logits,float16,0,ok,prepared/softmax/realistic/mt5_logits-float16-seed0.json,perf/softmax-realistic-mt5_logits-float16-seed0.json
softmax,realistic,opt_logits,float16,0,ok,prepared/softmax/realistic/opt_logits-float16-seed0.json,perf/softmax-realistic-opt_logits-float16-seed0.json
softmax,realistic,pegasus_attention,float16,0,ok,prepared/softmax/realistic/pegasus_attention-float16-seed0.json,perf/softmax-realistic-pegasus_attention-float16-seed0.json
softmax,realistic,plbart_attention,float16,0,ok,prepared/softmax/realistic/plbart_attention-float16-seed0.json,perf/softmax-realistic-plbart_attention-float16-seed0.json
softmax,realistic,plbart_logits,float16,0,ok,prepared/softmax/realistic/plbart_logits-float16-seed0.json,perf/softmax-realistic-plbart_logits-float16-seed0.json
softmax,realistic,speech_transformer_attention,float16,0,ok,prepared/softmax/realistic/speech_transformer_attention-float16-seed0.json,perf/softmax-realistic-speech_transformer_attention-float16-seed0.json
softmax,realistic,swin_window_attention,float16,0,ok,prepared/softmax/realistic/swin_window_attention-float16-seed0.json,perf/softmax-realistic-swin_window_attention-float16-seed0.json
softmax,realistic,t5_attention,float16,0,ok,prepared/softmax/realistic/t5_attention-float16-seed0.json,perf/softmax-realistic-t5_attention-float16-seed0.json
softmax,realistic,t5_logits,float16,0,ok,prepared/softmax/realistic/t5_logits-float16-seed0.json,perf/softmax-realistic-t5_logits-float16-seed0.json
softmax,realistic,trocr_attention,float16,0,ok,prepared/softmax/realistic/trocr_attention-float16-seed0.json,perf/softmax-realistic-trocr_attention-float16-seed0.json
softmax,realistic,xcit_attention,float16,0,ok,prepared/softmax/realistic/xcit_attention-float16-seed0.json,perf/softmax-realistic-xcit_attention-float16-seed0.json
softmax,realistic,xglm_logits,float16,0,ok,prepared/softmax/realistic/xglm_logits-float16-seed0.json,perf/softmax-realistic-xglm_logits-float16-seed0.json
softmax,realistic,xlnet_attention,float16,0,ok,prepared/softmax/realistic/xlnet_attention-float16-seed0.json,perf/softmax-realistic-xlnet_attention-float16-seed0.json
